kTotalStrokes	char
1	一
1	丶
1	丿
1	乙
1	亅
2	丁
2	七
2	乂
2	乃
2	九
2	了
2	二
2	亠
2	人
2	儿
2	入
2	八
2	冂
2	冖
2	冫
2	几
2	凵
2	刀
2	力
2	勹
2	匕
2	匚
2	匸
2	十
2	卜
2	卩
2	厂
2	厶
2	又
2	廴
3	万
3	丈
3	三
3	上
3	下
3	与
3	个
3	丸
3	久
3	之
3	乞
3	也
3	于
3	亡
3	兀
3	凡
3	刃
3	刄
3	勺
3	千
3	叉
3	及
3	口
3	囗
3	土
3	士
3	夂
3	夊
3	夕
3	大
3	女
3	子
3	孑
3	宀
3	寸
3	小
3	尢
3	尸
3	屮
3	山
3	巛
3	川
3	工
3	己
3	已
3	巳
3	巾
3	干
3	幺
3	广
3	廾
3	弋
3	弓
3	彑
3	彡
3	彳
3	才
4	不
4	丐
4	丑
4	中
4	丹
4	乏
4	乢
4	予
4	云
4	互
4	五
4	井
4	亢
4	什
4	仁
4	仂
4	仄
4	仆
4	仇
4	今
4	介
4	仍
4	从
4	仏
4	以
4	允
4	元
4	公
4	六
4	兮
4	内
4	円
4	冗
4	凶
4	分
4	切
4	刈
4	勾
4	勿
4	匁
4	匂
4	化
4	匹
4	区
4	卅
4	卆
4	升
4	午
4	卍
4	卞
4	厄
4	友
4	双
4	反
4	収
4	壬
4	天
4	太
4	夫
4	夬
4	夭
4	孔
4	少
4	尤
4	尹
4	尺
4	屯
4	巨
4	巴
4	幻
4	廿
4	弌
4	弔
4	引
4	弖
4	心
4	戈
4	戸
4	手
4	扎
4	支
4	攴
4	攵
4	文
4	斗
4	斤
4	方
4	无
4	旡
4	日
4	曰
4	月
4	木
4	欠
4	止
4	歹
4	殳
4	毋
4	比
4	毛
4	氏
4	气
4	水
4	火
4	爪
4	父
4	爻
4	爿
4	片
4	牙
4	牛
4	犬
4	王
4	瓦
4	辷
5	且
5	丕
5	世
5	丗
5	丘
5	丙
5	丱
5	主
5	丼
5	乍
5	乎
5	仔
5	仕
5	他
5	仗
5	付
5	仙
5	仝
5	仞
5	仟
5	代
5	令
5	仭
5	兄
5	冉
5	冊
5	册
5	写
5	冬
5	処
5	凧
5	凸
5	凹
5	出
5	刊
5	刋
5	功
5	加
5	包
5	匆
5	北
5	匝
5	卉
5	半
5	占
5	卮
5	卯
5	印
5	去
5	古
5	句
5	叨
5	叩
5	只
5	叫
5	召
5	叭
5	叮
5	可
5	台
5	叱
5	史
5	右
5	叶
5	号
5	司
5	叺
5	囘
5	囚
5	四
5	圦
5	圧
5	外
5	夘
5	央
5	失
5	夲
5	奴
5	孕
5	它
5	尓
5	尻
5	尼
5	屶
5	左
5	巧
5	市
5	布
5	平
5	幼
5	庁
5	広
5	弁
5	弍
5	弗
5	弘
5	必
5	戉
5	戊
5	打
5	払
5	斥
5	旦
5	旧
5	未
5	末
5	本
5	札
5	朮
5	正
5	母
5	民
5	氷
5	永
5	氾
5	汀
5	汁
5	犯
5	玄
5	玉
5	瓜
5	甘
5	生
5	用
5	田
5	由
5	甲
5	申
5	疋
5	癶
5	白
5	皮
5	皿
5	目
5	矛
5	矢
5	石
5	示
5	礼
5	禾
5	穴
5	立
5	艾
5	辺
5	辻
5	込
5	阡
6	丞
6	両
6	争
6	亘
6	亙
6	交
6	亥
6	亦
6	仮
6	仰
6	仲
6	件
6	价
6	任
6	企
6	伉
6	伊
6	伍
6	伎
6	伏
6	伐
6	休
6	会
6	伜
6	伝
6	似
6	充
6	兆
6	兇
6	先
6	光
6	全
6	共
6	再
6	冰
6	冱
6	冲
6	决
6	冴
6	凩
6	凪
6	刎
6	刑
6	刔
6	列
6	劣
6	匈
6	匠
6	匡
6	危
6	吁
6	吃
6	各
6	合
6	吉
6	吊
6	吋
6	同
6	名
6	后
6	吏
6	吐
6	向
6	吸
6	回
6	因
6	団
6	在
6	圭
6	地
6	圷
6	圸
6	壮
6	夙
6	多
6	夛
6	夷
6	夸
6	奸
6	好
6	妁
6	如
6	妃
6	妄
6	字
6	存
6	宅
6	宇
6	守
6	安
6	寺
6	尖
6	尽
6	屹
6	岌
6	州
6	巡
6	帆
6	年
6	幵
6	并
6	庄
6	延
6	廷
6	式
6	弐
6	弛
6	当
6	忖
6	忙
